citação,contexto
"Strohmaier, 2022 – Different complex word problems require different combinations of cognitive skills","Math word problems represent a crucial category of cognitive tasks evaluated in large language models, requiring decomposing complex textual descriptions into smaller components and applying systematic logical reasoning, typically over multiple steps <<(Strohmaier et al., 2022;>>Zhu et al., 2022).An example of a math word problem is the famous baseball bat and ball cost brain teaser (Leron and Hazzan, 2009): A baseball bat and ball together cost one dollar and 10 cents.The bat costs one dollar more than the ball.How much does the ball cost?.Arriving at the correct answer requires two steps: (1) interpreting the problem expressed in natural language, which involves extracting and relating variables to build the mathematical equation x + (1 + x) = 1.10, and (2) solving the equation using mathematical reasoning, where the linguistic details are no longer relevant."
"Zhu, 2022 – Solving math word problems via cooperative reasoning induced language models","Math word problems represent a crucial category of cognitive tasks evaluated in large language models, requiring decomposing complex textual descriptions into smaller components and applying systematic logical reasoning, typically over multiple steps (Strohmaier et al., 2022;<<Zhu et al., 2022)>>.An example of a math word problem is the famous baseball bat and ball cost brain teaser (Leron and Hazzan, 2009): A baseball bat and ball together cost one dollar and 10 cents.The bat costs one dollar more than the ball.How much does the ball cost?.Arriving at the correct answer requires two steps: (1) interpreting the problem expressed in natural language, which involves extracting and relating variables to build the mathematical equation x + (1 + x) = 1.10, and (2) solving the equation using mathematical reasoning, where the linguistic details are no longer relevant."
"Leron, 2009 – Intuitive vs analytical thinking: Four perspectives","Math word problems represent a crucial category of cognitive tasks evaluated in large language models, requiring decomposing complex textual descriptions into smaller components and applying systematic logical reasoning, typically over multiple steps (Strohmaier et al., 2022;Zhu et al., 2022).An example of a math word problem is the famous baseball bat and ball cost brain teaser <<(Leron and Hazzan, 2009)>>: A baseball bat and ball together cost one dollar and 10 cents.The bat costs one dollar more than the ball.How much does the ball cost?.Arriving at the correct answer requires two steps: (1) interpreting the problem expressed in natural language, which involves extracting and relating variables to build the mathematical equation x + (1 + x) = 1.10, and (2) solving the equation using mathematical reasoning, where the linguistic details are no longer relevant."
"Daroczy, 2015 – Word problems: A review of linguistic and numerical factors contributing to their difficulty","Motivated by educational research showing that humans need a combination of cognitive skills to solve math word problems <<(Daroczy et al., 2015;>>Strohmaier et al., 2022), we pose two research questions: (1) How frequently do small-scale language models err in equation construction compared to equation solving?(2) Do different language models exhibit systematic differences in their ability to construct equations versus solve them?These questions are important for NLP because they help characterize the limitations of language models in real-world analytical problems, which come in textual, not math forms."
"Strohmaier, 2022 – Different complex word problems require different combinations of cognitive skills","Motivated by educational research showing that humans need a combination of cognitive skills to solve math word problems (Daroczy et al., 2015;<<Strohmaier et al., 2022)>>, we pose two research questions: (1) How frequently do small-scale language models err in equation construction compared to equation solving?(2) Do different language models exhibit systematic differences in their ability to construct equations versus solve them?These questions are important for NLP because they help characterize the limitations of language models in real-world analytical problems, which come in textual, not math forms."
"Sales Almeida, 2023 – Bluex: A benchmark based on brazilian leading universities entrance exams","We use word problems sampled from two sources containing problems of different difficulty levels: (1) 40 questions extracted from the largest Brazilian college admission-level math exam (ENEM), which tests highly analytical capabilities <<(Almeida et al., 2023)>>, and (2) an equalsized sample from GSM8K (Cobbe et al., 2021), a popular benchmark containing grade-school level (and hence easier) word problems.To systematically convert word problems into their pure-math equivalents, we leverage Python's symbolic solver SymPy (Meurer et al., 2017).We use a state-of-theart generative language model (gpt-4-turbo-2024-04-09) to generate the SymPy source code that represents the underlying mathematical structure of each problem.This symbolic representation serves as the basis for formulating the pure-math version of the question, removing any linguistic interpretation challenges.After constructing extended benchmarks based on ENEM and GSM8K and evaluating 35 models from different families in different versions and stages of fine-tuning and with zero-shot and two-shot chain-of-thought prompts, our findings are:"
"Cobbe, 2021 – Training verifiers to solve math word problems","We use word problems sampled from two sources containing problems of different difficulty levels: (1) 40 questions extracted from the largest Brazilian college admission-level math exam (ENEM), which tests highly analytical capabilities (Almeida et al., 2023), and (2) an equalsized sample from GSM8K <<(Cobbe et al., 2021)>>, a popular benchmark containing grade-school level (and hence easier) word problems.To systematically convert word problems into their pure-math equivalents, we leverage Python's symbolic solver SymPy (Meurer et al., 2017).We use a state-of-theart generative language model (gpt-4-turbo-2024-04-09) to generate the SymPy source code that represents the underlying mathematical structure of each problem.This symbolic representation serves as the basis for formulating the pure-math version of the question, removing any linguistic interpretation challenges.After constructing extended benchmarks based on ENEM and GSM8K and evaluating 35 models from different families in different versions and stages of fine-tuning and with zero-shot and two-shot chain-of-thought prompts, our findings are:"
"Meurer, 2017 – Sympy: symbolic computing in python","We use word problems sampled from two sources containing problems of different difficulty levels: (1) 40 questions extracted from the largest Brazilian college admission-level math exam (ENEM), which tests highly analytical capabilities (Almeida et al., 2023), and (2) an equalsized sample from GSM8K (Cobbe et al., 2021), a popular benchmark containing grade-school level (and hence easier) word problems.To systematically convert word problems into their pure-math equivalents, we leverage Python's symbolic solver SymPy <<(Meurer et al., 2017)>>.We use a state-of-theart generative language model (gpt-4-turbo-2024-04-09) to generate the SymPy source code that represents the underlying mathematical structure of each problem.This symbolic representation serves as the basis for formulating the pure-math version of the question, removing any linguistic interpretation challenges.After constructing extended benchmarks based on ENEM and GSM8K and evaluating 35 models from different families in different versions and stages of fine-tuning and with zero-shot and two-shot chain-of-thought prompts, our findings are:"
"Finch, 2013 – Exploratory Factor Analysis","• Exploratory factor analysis <<(Finch, 2013)>> unveils two latent factors that align strongly with text vs. math ability, indicating distinct skill profiles in small-scale language models: Some models excel at solving pure-math problems but struggle with word problems, while a smaller subset of models demonstrate strong performance in both areas.We show that factor analysis is a powerful tool for comparing models and prompt variations beyond simple accuracy metrics.By analyzing multiple variations of different versions of models from the same family, we can track their evolution over time and pinpoint whether a new version introduces a fundamentally new skill."
"(Burnell et al., 2023b)","In addition to making the extended benchmarks publicly available to encourage further research, our work aligns with the growing trend of designing controlled benchmarks that test specific capabilities of language models by systematically varying key features of the problem space.This approach enables more nuanced analyses beyond accuracy <<(Burnell et al., 2023b)>> and increases the relevance and informative power of benchmarking efforts (v.Kistowski et al., 2015)."
