"locale_id","city","state","temperature","feels_like"
1868,"Cachoeira Dourada","MG","26.0","26.0"
1899,"Canápolis","MG","24.0","24.0"
1914,"Capinópolis","MG","26.0","26.0"
1917,"Caldas","MG","21.0","19.0"
2013,"Centralina","MG","25.0","25.0"
2057,"Gurinhatã","MG","27.0","27.0"
2066,"Ipiaçu","MG","26.0","27.0"
2165,"Itapagipe","MG","26.0","27.0"
2175,"Monte Alegre De Minas","MG","23.0","23.0"
2193,"Santa Vitória","MG","26.0","27.0"
2195,"Tupaciguara","MG","23.0","23.0"
2212,"Santiago De Los Caballeros","ND","20.0","20.0"
2377,"União De Minas","MG","27.0","28.0"
2470,"Palmeiras","BA","21.0","21.0"
2504,"Seabra","BA","21.0","21.0"
2518,"Camanducaia","MG","19.0","19.0"
2598,"Corumbá De Goiás","GO","22.0","22.0"
2601,"Mortugaba","BA","22.0","22.0"
2837,"São Sebastião Da Bela Vista","MG","21.0","21.0"
2836,"Piritiba","BA","23.0","23.0"
2964,"Belo Oriente","MG","24.0","24.0"
3031,"Carmo De Minas","MG","22.0","22.0"
3046,"Amélia Rodrigues","BA","26.0","27.0"
3060,"Cássia","MG","24.0","24.0"
3086,"Água Clara","MS","27.0","27.0"
3084,"Inconfidentes","MG","20.0","20.0"
3116,"Mar Vermelho","AL","25.0","25.0"
3118,"Ichu","BA","26.0","27.0"
3120,"Delfinópolis","MG","24.0","24.0"
3123,"Santo Antônio Do Monte","MG","22.0","22.0"
3121,"Vazante","MG","22.0","22.0"
3122,"Iguatama","MG","22.0","22.0"
3127,"Mundo Novo","BA","22.0","22.0"
3128,"Cabeceira Grande","MG","25.0","25.0"
3117,"Conceição Do Coité","BA","24.0","24.0"
3119,"Bom Repouso","MG","16.0","16.0"
3129,"Guarda-Mor","MG","22.0","22.0"
3131,"Itaporã","MS","26.0","27.0"
3134,"Cachoeira Dourada","GO","26.0","26.0"
3132,"Jaborandi","BA","26.0","26.0"
3135,"Caiapônia","GO","25.0","25.0"
3136,"Chapadão Do Céu","GO","25.0","25.0"
3126,"Santa Juliana","MG","22.0","22.0"
3133,"Cabeceiras","GO","24.0","24.0"
3140,"Gouvelândia","GO","26.0","27.0"
3144,"Cabo Verde","MG","20.0","20.0"
3125,"Papagaios","MG","23.0","23.0"
3143,"Brasópolis","MG","19.0","19.0"
3146,"Monte Belo","MG","20.0","20.0"
3139,"Edéia","GO","25.0","25.0"
3149,"Antônio João","MS","27.0","28.0"
