"locale_id","city","state","temperature","feels_like","latitude","longitude"
1868,"Cachoeira Dourada","MG","26.0","26.0","-18.5","-49.5"
1899,"Canápolis","MG","24.0","24.0","-18.7","-49.2"
1914,"Capinópolis","MG","26.0","26.0","-18.7","-49.6"
1917,"Caldas","MG","21.0","21.0","-21.9","-46.4"
2013,"Centralina","MG","25.0","25.0","-18.6","-49.2"
2057,"Gurinhatã","MG","27.0","27.0","-19.2","-49.8"
2066,"Ipiaçu","MG","26.0","27.0","-18.7","-49.9"
2165,"Itapagipe","MG","26.0","27.0","-19.9","-49.4"
2175,"Monte Alegre De Minas","MG","23.0","23.0","-18.9","-48.9"
2193,"Santa Vitória","MG","26.0","27.0","-18.8","-50.1"
2195,"Tupaciguara","MG","23.0","23.0","-18.6","-48.7"
2212,"Santiago De Los Caballeros","ND","20.0","20.0","19.5","-70.7"
2377,"União De Minas","MG","27.0","28.0","-19.5","-50.3"
2470,"Palmeiras","BA","22.0","22.0","-12.5","-41.6"
2504,"Seabra","BA","21.0","21.0","-12.4","-41.8"
2518,"Camanducaia","MG","19.0","19.0","-22.8","-46.1"
2598,"Corumbá De Goiás","GO","24.0","24.0","-15.9","-48.8"
2601,"Mortugaba","BA","22.0","22.0","-15.0","-42.4"
2836,"Piritiba","BA","23.0","23.0","-11.7","-40.6"
2837,"São Sebastião Da Bela Vista","MG","21.0","21.0","-22.2","-45.8"
2964,"Belo Oriente","MG","24.0","24.0","-19.2","-42.5"
3031,"Carmo De Minas","MG","22.0","22.0","-22.1","-45.1"
3046,"Amélia Rodrigues","BA","26.0","27.0","-12.4","-38.8"
3060,"Cássia","MG","24.0","24.0","-20.6","-46.9"
3084,"Inconfidentes","MG","20.0","20.0","-22.3","-46.3"
3086,"Água Clara","MS","27.0","27.0","-20.4","-52.9"
3117,"Conceição Do Coité","BA","26.0","27.0","-11.6","-39.3"
3116,"Mar Vermelho","AL","25.0","25.0","-9.4","-36.4"
3118,"Ichu","BA","26.0","27.0","-11.7","-39.2"
3121,"Vazante","MG","22.0","22.0","-18.0","-46.9"
3120,"Delfinópolis","MG","24.0","24.0","-20.3","-46.9"
3119,"Bom Repouso","MG","16.0","16.0","-22.5","-46.1"
3123,"Santo Antônio Do Monte","MG","22.0","22.0","-20.1","-45.3"
3122,"Iguatama","MG","22.0","22.0","-20.2","-45.7"
3124,"Anaurilândia","MS","28.0","29.0","-22.2","-52.7"
3126,"Santa Juliana","MG","22.0","22.0","-19.3","-47.5"
3127,"Mundo Novo","BA","22.0","22.0","-11.9","-40.5"
3125,"Papagaios","MG","23.0","23.0","-19.4","-44.7"
3128,"Cabeceira Grande","MG","25.0","25.0","-16.0","-47.1"
3129,"Guarda-Mor","MG","24.0","24.0","-17.8","-47.1"
3131,"Itaporã","MS","26.0","27.0","-22.1","-54.8"
3130,"Brasnorte","MT","25.0","25.0","-12.2","-58.0"
3134,"Cachoeira Dourada","GO","26.0","26.0","-18.5","-49.5"
3132,"Jaborandi","BA","26.0","26.0","-13.6","-44.4"
3136,"Chapadão Do Céu","GO","25.0","25.0","-18.4","-52.5"
3133,"Cabeceiras","GO","24.0","24.0","-15.8","-46.9"
3137,"Cocalzinho De Goiás","GO","23.0","23.0","-15.8","-48.8"
3135,"Caiapônia","GO","25.0","25.0","-17.0","-51.8"
3138,"Edealina","GO","26.0","26.0","-17.4","-49.7"
3140,"Gouvelândia","GO","26.0","27.0","-18.6","-50.1"
3139,"Edéia","GO","25.0","25.0","-17.3","-49.9"
3141,"Campo Alegre De Goiás","GO","23.0","23.0","-17.6","-47.8"
3142,"Bonfinópolis De Minas","MG","23.0","23.0","-16.6","-46.0"
3144,"Cabo Verde","MG","20.0","20.0","-21.5","-46.4"
3143,"Brasópolis","MG","19.0","19.0","-22.5","-45.6"
3145,"Guaranésia","MG","23.0","23.0","-21.3","-46.8"
3147,"Presidente Olegário","MG","22.0","22.0","-18.4","-46.4"
3146,"Monte Belo","MG","21.0","21.0","-21.3","-46.4"
3150,"Bela Vista","MS","27.0","28.0","-22.1","-56.5"
3152,"Humildes","BA","26.0","27.0","-12.4","-38.9"
3151,"Douradina","MS","27.0","27.0","-22.0","-54.6"
3149,"Antônio João","MS","27.0","28.0","-22.2","-55.9"
3155,"Pedrinópolis","MG","22.0","22.0","-19.2","-47.5"
3153,"Conquista","MG","25.0","25.0","-19.9","-47.5"
3154,"Estrela Do Sul","MG","23.0","23.0","-18.7","-47.7"
3156,"Perdizes","MG","23.0","23.0","-19.4","-47.3"
3158,"Planura","MG","26.0","26.0","-20.1","-48.7"
3157,"Pirajuba","MG","26.0","26.0","-19.9","-48.7"
3148,"Alcinópolis","MS","25.0","25.0","-18.3","-53.7"
3159,"Água Comprida","MG","25.0","25.0","-20.1","-48.1"
3161,"Santa Maria Do Oeste","PR","20.0","20.0","-24.9","-51.9"
3163,"Ângulo","PR","26.0","26.0","-23.2","-51.9"
3162,"São João","PR","24.0","24.0","-25.8","-52.7"
3165,"Santo Estevão","BA","26.0","27.0","-12.4","-39.3"
3164,"Prado","BA","26.0","28.0","-17.3","-39.2"
3166,"Aparecida Do Taboado","MS","25.0","25.0","-20.1","-51.1"
3167,"Uruaçu","GO","28.0","28.0","-14.5","-49.1"
3169,"Lajinha","MG","21.0","21.0","-20.2","-41.6"
3168,"Conceição Da Aparecida","MG","21.0","21.0","-21.1","-46.2"
3173,"Morro De São Paulo","BA","26.0","27.0","-13.4","-39.0"
3171,"Serra Do Cipó","MG","21.0","21.0","-19.2","-43.4"
3172,"Pojuca","BA","27.0","29.0","-12.4","-38.3"
3176,"Araçás","BA","28.0","30.0","-12.2","-38.2"
3175,"Licínio De Almeida","BA","23.0","23.0","-14.7","-42.5"
3170,"Divino","MG","20.0","20.0","-20.6","-42.1"
3179,"Paraisópolis","MG","21.0","21.0","-22.6","-45.8"
3177,"Angélica","MS","27.0","28.0","-22.2","-53.8"
3182,"Claraval","MG","23.0","23.0","-20.4","-47.3"
3181,"Piracanjuba","GO","25.0","25.0","-17.3","-49.0"
3180,"Conselheiro Mairinck","PR","22.0","22.0","-23.6","-50.2"
3178,"Cambuí","MG","21.0","21.0","-22.6","-46.1"
3183,"Conceição","PB","25.0","25.0","-7.6","-38.5"
3174,"Porto Sauípe","BA","28.0","32.0","-12.3","-37.9"
3184,"Candeias","MG","22.0","22.0","-20.8","-45.3"
3187,"Carlos Chagas","MG","26.0","27.0","-17.7","-40.8"
3189,"Camamu","BA","25.0","25.0","-13.9","-39.1"
3185,"Livramento De Nossa Senhora","BA","23.0","23.0","-13.6","-41.8"
3186,"Cruz Machado","PR","19.0","19.0","-26.0","-51.3"
3188,"Camacã","BA","23.0","23.0","-15.4","-39.5"
3190,"Igaporã","BA","24.0","24.0","-13.8","-42.7"
3192,"Santaluz","BA","27.0","28.0","-11.3","-39.4"
3191,"Piatã","BA","20.0","20.0","-13.2","-41.8"
3193,"Bom Jardim","MA","25.0","25.0","-4.7","-44.4"
3195,"Araputanga","MT","26.0","27.0","-15.5","-58.4"
3197,"Uruará","PA","24.0","24.0","-3.7","-53.7"
3194,"Pimenta","MG","23.0","23.0","-20.5","-45.8"
3200,"Filadélfia","BA","25.0","25.0","-10.7","-40.1"
3198,"Trindade","PE","25.0","25.0","-7.8","-40.3"
3196,"São José Dos Quatro Marcos","MT","26.0","28.0","-15.6","-58.2"
3201,"Itatim","BA","25.0","25.0","-12.7","-39.7"
3202,"Lauro De Freitas","BA","27.0","29.0","-12.9","-38.3"
3207,"Rio Real","BA","28.0","30.0","-11.5","-37.9"
3203,"Rio Quente","GO","26.0","26.0","-17.8","-48.8"
3206,"Riachão Do Jacuípe","BA","26.0","27.0","-11.8","-39.4"
3204,"Mucugê","BA","20.0","20.0","-13.0","-41.4"
